number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
53,0.8087788212748966,2025-10-16 17:50:02.344930,2025-10-16 17:50:08.030620,0 days 00:00:05.685690,0.7083088383430471,4.8098024547142275,0.027482829237025944,7,10,303,3.3472833003885873,3.9746337577587725,0.9182709756816045,COMPLETE
54,0.8074022168575361,2025-10-16 17:50:08.031342,2025-10-16 17:50:12.777398,0 days 00:00:04.746056,0.7278154958316362,3.9668454534797393,0.027872377927093416,5,10,294,3.73239363000538,4.747213650763593,0.9982907068888207,COMPLETE
55,0.8090951759872661,2025-10-16 17:50:12.778047,2025-10-16 17:50:19.571405,0 days 00:00:06.793358,0.7050909064001015,4.767870638146676,0.022672621309555458,6,10,379,4.454755410985064,4.174664450865224,0.9163777278449382,COMPLETE
56,0.8088205522997306,2025-10-16 17:50:19.572068,2025-10-16 17:50:26.272508,0 days 00:00:06.700440,0.6859781706003021,4.402738210405603,0.022209764611446355,6,9,383,4.4455336044250835,1.1606362508528063,0.9580343534337376,COMPLETE
57,0.808808770277134,2025-10-16 17:50:26.273157,2025-10-16 17:50:32.773044,0 days 00:00:06.499887,0.7353414010312839,3.3789919584712953,0.02226446134042857,6,9,396,4.121106032180459,1.199196795481861,0.9519211880265508,COMPLETE
58,0.8087543079873033,2025-10-16 17:50:32.773696,2025-10-16 17:50:40.144299,0 days 00:00:07.370603,0.7526652250258273,4.370650103315738,0.019098155832246812,6,10,440,4.535465508665425,1.4726770659605672,0.9654531755604058,COMPLETE
59,0.8084260827895466,2025-10-16 17:50:40.145009,2025-10-16 17:50:46.726751,0 days 00:00:06.581742,0.6882233302636297,2.3024382850706484,0.01746514345207975,6,10,358,4.381338483880515,1.7992847333872541,0.9328503437503447,COMPLETE
60,0.8077730969298941,2025-10-16 17:50:46.727383,2025-10-16 17:50:52.473628,0 days 00:00:05.746245,0.7759269890852334,4.049892206268124,0.022475201882829463,5,9,375,0.9951273290636209,1.0621926674092066,0.9060249760058492,COMPLETE
61,0.8086863636207166,2025-10-16 17:50:52.474333,2025-10-16 17:50:58.308361,0 days 00:00:05.834028,0.7040084617794612,4.514963090169797,0.031994709511753275,5,2,404,4.68705479838154,0.7049235859613805,0.9546963937002796,COMPLETE
62,0.8086104180979974,2025-10-16 17:50:58.309175,2025-10-16 17:51:03.876173,0 days 00:00:05.566998,0.6684815431905285,4.790994880017154,0.040878255273449786,5,10,348,3.9863367126157163,0.2890306604435371,0.9186244370916952,COMPLETE
63,0.8072133454862463,2025-10-16 17:51:03.876813,2025-10-16 17:51:09.983065,0 days 00:00:06.106252,0.6834387949566377,4.3367766100025635,0.06415911869417441,6,9,434,4.967746223437213,2.3850535158169017,0.88097972980686,COMPLETE
64,0.8087112195650397,2025-10-16 17:51:09.983742,2025-10-16 17:51:18.412436,0 days 00:00:08.428694,0.6496000663173289,4.611632048782601,0.013108490694063085,6,8,499,4.363396546755269,0.9038538945339236,0.860459384136846,COMPLETE
65,0.8066504180833768,2025-10-16 17:51:18.413082,2025-10-16 17:51:24.851537,0 days 00:00:06.438455,0.7228969181263948,3.7738091709211945,0.01484698403648176,5,2,383,4.64833113108478,1.2589845355579536,0.8992477883359733,COMPLETE
66,0.8001162052896076,2025-10-16 17:51:24.852158,2025-10-16 17:51:28.195037,0 days 00:00:03.342879,0.6954613410841587,2.902426238522213,0.02060322156993299,4,5,200,4.248502517185448,1.6557887722184939,0.9835268410804867,COMPLETE
67,0.8084612696612323,2025-10-16 17:51:28.195707,2025-10-16 17:51:33.079046,0 days 00:00:04.883339,0.6640428213186671,4.833937366752579,0.031192147822600224,7,9,237,4.799516377385983,0.6306487408776642,0.8072038541632849,COMPLETE
68,0.8088332175603729,2025-10-16 17:51:33.079698,2025-10-16 17:51:38.222815,0 days 00:00:05.143117,0.644675838621245,4.441789931101734,0.04591029705532128,5,3,329,3.9112593752233478,4.407935252580477,0.7793053076524937,COMPLETE
69,0.8079744232136518,2025-10-16 17:51:38.223558,2025-10-16 17:51:43.797764,0 days 00:00:05.574206,0.9496070653663524,4.996085329138081,0.03469478025649045,6,3,327,3.874345559116012,4.534390661938861,0.7855133308858457,COMPLETE
70,0.8082737499634424,2025-10-16 17:51:43.798387,2025-10-16 17:51:48.723458,0 days 00:00:04.925071,0.6471561761417647,1.1181502161455188,0.025912458204828022,5,4,312,3.576718933925404,4.2196573670828865,0.9256048401295303,COMPLETE
71,0.8089261335299994,2025-10-16 17:51:48.724455,2025-10-16 17:51:52.927676,0 days 00:00:04.203221,0.6793813362768475,4.450008909041042,0.045743650900362975,5,4,261,4.163291823045974,4.507817134545975,0.7489856143600016,COMPLETE
72,0.8088940623536418,2025-10-16 17:51:52.928333,2025-10-16 17:51:57.849896,0 days 00:00:04.921563,0.6370689678017343,4.444104521615925,0.04074065660543304,6,3,259,4.138318509071042,4.408717745725294,0.7286754718879117,COMPLETE
73,0.8090073891776036,2025-10-16 17:51:57.850770,2025-10-16 17:52:02.908491,0 days 00:00:05.057721,0.6174324611172276,4.12825311420815,0.04032660509749975,5,3,264,4.172552228698812,4.434174754073889,0.7167866276929414,COMPLETE
74,0.8076237540342209,2025-10-16 17:52:02.909209,2025-10-16 17:52:06.756777,0 days 00:00:03.847568,0.6123089943282473,4.140781410613138,0.039469849416932164,4,3,260,4.075025913718262,3.8747242217022686,0.7152244825614487,COMPLETE
75,0.8086583396970166,2025-10-16 17:52:06.757399,2025-10-16 17:52:10.743965,0 days 00:00:03.986566,0.6235375123250327,0.37745854172399695,0.05368520807002922,5,4,227,3.7515414970420613,4.605694475262122,0.7143816616938579,COMPLETE
76,0.8078388476782864,2025-10-16 17:52:10.744617,2025-10-16 17:52:15.065038,0 days 00:00:04.320421,0.6322180777645474,3.9862819800597085,0.05898040158846935,6,4,246,4.192236398823323,4.790655116238915,0.6862355255811428,COMPLETE
77,0.807416511418884,2025-10-16 17:52:15.065688,2025-10-16 17:52:19.027002,0 days 00:00:03.961314,0.6000351838515857,1.7970145922914722,0.03677603771241602,4,2,266,3.9823072456477653,4.118235410090787,0.6635793049361433,COMPLETE
78,0.8014497287199113,2025-10-16 17:52:19.027628,2025-10-16 17:52:24.041681,0 days 00:00:05.014053,0.6555048531573083,4.235743298597213,0.0709730704889604,10,3,217,3.3866620682805495,4.338655717835005,0.7437281432836377,COMPLETE
79,0.8086474457305474,2025-10-16 17:52:24.042420,2025-10-16 17:52:27.938871,0 days 00:00:03.896451,0.6179009366955514,4.881205608529532,0.043135018885318094,5,2,233,3.0542429465793477,3.7807568549926316,0.6441430395901051,COMPLETE
80,0.8086018715025695,2025-10-16 17:52:27.939495,2025-10-16 17:52:31.968466,0 days 00:00:04.028971,0.6338906497654383,3.875182604148386,0.029206834047854076,6,1,204,3.7750458874053607,4.903456400915649,0.7558029608606487,COMPLETE
81,0.8088409023784454,2025-10-16 17:52:31.969120,2025-10-16 17:52:36.552488,0 days 00:00:04.583368,0.6486795600824072,4.459476254331771,0.0440031819063785,5,3,278,4.183299642940209,4.401951760160024,0.7320408585218395,COMPLETE
82,0.8086041262053417,2025-10-16 17:52:36.553227,2025-10-16 17:52:41.208930,0 days 00:00:04.655703,0.6394962099924211,4.705767374641847,0.0520080347111153,5,3,281,4.359015573126903,4.2100181691702545,0.7257939112577009,COMPLETE
83,0.8084212626139496,2025-10-16 17:52:41.209577,2025-10-16 17:52:46.160944,0 days 00:00:04.951367,0.6730337478123469,4.550420751216369,0.062472407949101465,5,4,254,4.161256001048147,4.622323780898089,0.6746798376598455,COMPLETE
