number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
43,0.9080370834794145,2025-10-16 23:42:18.143395,2025-10-16 23:42:21.465167,0 days 00:00:03.321772,0.7474358101385459,2.758940289700897,0.11558151213324039,7,6,199,9.542873268618994,3.077825672070336,0.8262701870565068,COMPLETE
44,0.9078401751921643,2025-10-16 23:42:21.491844,2025-10-16 23:42:24.975794,0 days 00:00:03.483950,0.7600231464648506,2.630077452671377,0.09408719042747435,8,5,181,9.944935959367816,5.5956652916938046,0.8177866295703453,COMPLETE
45,0.9078811061912131,2025-10-16 23:42:25.001233,2025-10-16 23:42:28.413248,0 days 00:00:03.412015,0.7074440674152277,2.3338641381643273,0.07322445509351248,7,1,170,8.25167244499951,3.752955887234021,0.8341356433766753,COMPLETE
46,0.9079779425412298,2025-10-16 23:42:28.437842,2025-10-16 23:42:32.489744,0 days 00:00:04.051902,0.7536879376855637,0.5170489071957973,0.11144088371895676,7,7,191,9.592608485687446,4.417841806050264,0.7883373576689018,COMPLETE
47,0.9077132029232177,2025-10-16 23:42:32.516494,2025-10-16 23:42:35.148794,0 days 00:00:02.632300,0.9731934582869515,2.8967636880360743,0.13655700183493413,6,4,142,8.658757309561143,2.999035233551721,0.8670728290092328,COMPLETE
48,0.9080071205616973,2025-10-16 23:42:35.174801,2025-10-16 23:42:38.510511,0 days 00:00:03.335710,0.6879992969376546,2.9629386872801904,0.15289873727931821,5,6,240,6.693207468650342,3.350607198137517,0.8224724968977442,COMPLETE
49,0.9074023996188558,2025-10-16 23:42:38.534498,2025-10-16 23:42:41.745483,0 days 00:00:03.210985,0.6757748830381745,4.055068021896845,0.1564006380329038,4,3,239,6.789378459455205,5.062669241579255,0.8235062227248766,COMPLETE
50,0.9078619340669414,2025-10-16 23:42:41.772634,2025-10-16 23:42:45.232881,0 days 00:00:03.460247,0.6586389004551222,2.427050901826062,0.12770923666857717,5,5,222,8.002738365017764,3.4734925266463117,0.7992145698253454,COMPLETE
51,0.9072323938290179,2025-10-16 23:42:45.260492,2025-10-16 23:42:48.682285,0 days 00:00:03.421793,0.7116306375171295,3.0151415042611056,0.06908799817752588,5,6,202,7.578317128798013,3.329347570263455,0.8489237307880318,COMPLETE
52,0.907813779641663,2025-10-16 23:42:48.706313,2025-10-16 23:42:52.033249,0 days 00:00:03.326936,0.6353139327462713,2.722902859834633,0.17842673450477364,6,6,239,9.504762514683144,2.519383751847203,0.8811167518496195,COMPLETE
53,0.9079453484045755,2025-10-16 23:42:52.058495,2025-10-16 23:42:55.316626,0 days 00:00:03.258131,0.739498764675286,2.035975206415598,0.09609302951984505,7,7,155,1.362658188418016,4.2184052355534085,0.797578812552107,COMPLETE
54,0.9080989578097018,2025-10-16 23:42:55.343565,2025-10-16 23:42:58.793454,0 days 00:00:03.449889,0.676146491740155,0.49227372224422594,0.1473915237634141,6,5,183,8.64422024814465,2.7415784170616173,0.8731379714117052,COMPLETE
55,0.9080399997318812,2025-10-16 23:42:58.819175,2025-10-16 23:43:02.931799,0 days 00:00:04.112624,0.6877095150664568,0.42679574507738294,0.1444783255799147,6,5,226,9.066670388165356,2.3395967229557266,0.8816579792684668,COMPLETE
56,0.9080009453122845,2025-10-16 23:43:02.955997,2025-10-16 23:43:06.971334,0 days 00:00:04.015337,0.683653413781064,0.7923599966137617,0.1472774790844705,6,5,228,9.025910414457178,2.274227805372888,0.8733793407340349,COMPLETE
57,0.9080018706426072,2025-10-16 23:43:06.998102,2025-10-16 23:43:11.393453,0 days 00:00:04.395351,0.6918405972176108,0.22833377084935463,0.1832199427050808,4,4,257,9.229926946665794,1.159897263486687,0.9329971050066891,COMPLETE
58,0.9077903991197378,2025-10-16 23:43:11.420813,2025-10-16 23:43:15.594408,0 days 00:00:04.173595,0.6278071120286335,0.07803817236998944,0.21389005620774024,5,3,243,9.740897001803855,1.7672489088041878,0.9008821737157582,COMPLETE
59,0.9080261360746661,2025-10-16 23:43:15.628056,2025-10-16 23:43:19.408616,0 days 00:00:03.780560,0.6719443835633234,0.7422063802921811,0.1565334564395773,6,4,183,6.490235781896435,2.67489937806345,0.8271461986188786,COMPLETE
60,0.9080661949585085,2025-10-16 23:43:19.432554,2025-10-16 23:43:22.833471,0 days 00:00:03.400917,0.6392581048883744,0.737357784563133,0.16093535344398838,6,4,182,6.402620514373776,2.7650004825682104,0.9149899796045687,COMPLETE
61,0.9081200539375806,2025-10-16 23:43:22.860709,2025-10-16 23:43:26.220879,0 days 00:00:03.360170,0.6420696191828182,0.7986807685204713,0.15982557550702203,6,2,181,6.433387578693806,0.6345058045213479,0.9194082154909623,COMPLETE
62,0.9082402779565264,2025-10-16 23:43:26.246289,2025-10-16 23:43:29.524613,0 days 00:00:03.278324,0.6468574367898037,0.42165175451060366,0.13358132732850836,6,2,173,5.30860037099848,0.5267346312591292,0.9191537442412077,COMPLETE
63,0.9073453090421625,2025-10-16 23:43:29.551834,2025-10-16 23:43:32.665505,0 days 00:00:03.113671,0.6007710846786257,0.4261344808612333,0.2112338011567365,6,2,155,4.400651972932527,0.36011793020883665,0.9177307731806121,COMPLETE
64,0.9082094094161229,2025-10-16 23:43:32.690138,2025-10-16 23:43:36.248765,0 days 00:00:03.558627,0.6234809486456983,1.1397041980988336,0.1670510107383278,6,2,141,5.371532174194119,0.736645290471613,0.9461250883036378,COMPLETE
65,0.9079847777699793,2025-10-16 23:43:36.279512,2025-10-16 23:43:39.035427,0 days 00:00:02.755915,0.640701635763898,1.1675717538528538,0.1677989607992344,6,2,95,5.247920755071488,0.6177900530211446,0.9392893909370489,COMPLETE
66,0.9080140791580871,2025-10-16 23:43:39.062913,2025-10-16 23:43:42.618294,0 days 00:00:03.555381,0.6189294808383893,0.8185048778917228,0.18142932281049656,6,2,129,6.190918497664237,1.3419587001699753,0.9447378813872072,COMPLETE
67,0.9080764007766158,2025-10-16 23:43:42.644870,2025-10-16 23:43:45.961907,0 days 00:00:03.317037,0.640260796135057,1.047040829877772,0.19822689587027043,5,1,139,5.371557628796003,0.7035158134385368,0.9061810103509765,COMPLETE
68,0.907845712512357,2025-10-16 23:43:45.986407,2025-10-16 23:43:48.776576,0 days 00:00:02.790169,0.6504774987664901,1.4811650635747595,0.19706254904212617,5,1,108,5.279274476394895,0.745907950463288,0.9159201625011301,COMPLETE
69,0.9079847771900391,2025-10-16 23:43:48.802379,2025-10-16 23:43:51.278933,0 days 00:00:02.476554,0.6456439191010769,1.0402216255014547,0.1745744053491059,5,1,140,4.42930289858644,0.31467957378320593,0.9583146073999198,COMPLETE
70,0.9077903219814525,2025-10-16 23:43:51.305208,2025-10-16 23:43:53.758958,0 days 00:00:02.453750,0.6203053249304326,0.5622783327955523,0.23678026946138178,6,2,129,5.584991380125164,1.1200476486359239,0.9858351753434204,COMPLETE
71,0.9081369291713635,2025-10-16 23:43:53.783566,2025-10-16 23:43:56.853048,0 days 00:00:03.069482,0.6050037243247941,0.8544738575905244,0.1608681679609533,6,3,172,5.946917642862832,0.5869348460524539,0.9260617847183843,COMPLETE
72,0.9081195582728677,2025-10-16 23:43:56.880502,2025-10-16 23:44:00.117522,0 days 00:00:03.237020,0.6006024932128395,0.8333632987281235,0.16307011227715595,6,3,172,6.009644854472706,0.46973163729786993,0.9031489618161284,COMPLETE
73,0.9077978150595776,2025-10-16 23:44:00.144367,2025-10-16 23:44:03.509859,0 days 00:00:03.365492,0.6048075333047499,0.6653407952421171,0.1880320925937226,6,3,174,5.917287217070526,0.5984427050412493,0.9059882792146035,COMPLETE
74,0.9080390782974197,2025-10-16 23:44:03.533582,2025-10-16 23:44:06.312047,0 days 00:00:02.778465,0.6295207420172929,0.8746749850353384,0.16304430318759663,5,3,163,4.753421335005085,0.0737556950909587,0.9290135498029773,COMPLETE
75,0.9073491413573522,2025-10-16 23:44:06.338387,2025-10-16 23:44:10.723840,0 days 00:00:04.385453,0.6696266638771595,0.16724687289054224,0.208221497680193,6,2,187,4.915430618667897,0.9605004622309001,0.9543618068957587,COMPLETE
76,0.9078886436725506,2025-10-16 23:44:10.749967,2025-10-16 23:44:13.416169,0 days 00:00:02.666202,0.6135824660257005,1.6994278494715775,0.13434321494004173,5,3,150,5.324338985116387,0.4325345480629981,0.967064884396302,COMPLETE
77,0.9079001503583607,2025-10-16 23:44:13.440255,2025-10-16 23:44:16.563034,0 days 00:00:03.122779,0.6642053313735553,1.0703650410222108,0.16149065760546355,6,1,173,3.7234979449227232,1.5290998988202515,0.8912687098699442,COMPLETE
78,0.9081017625247292,2025-10-16 23:44:16.587938,2025-10-16 23:44:19.849322,0 days 00:00:03.261384,0.6272246131896984,0.6240844665292296,0.17019961004237155,6,2,160,6.148224343157799,1.2897506226025675,0.9436071218535721,COMPLETE
79,0.9080395362231201,2025-10-16 23:44:19.875739,2025-10-16 23:44:22.610045,0 days 00:00:02.734306,0.6266320062767836,1.2652440685821655,0.17096384884798477,5,2,164,6.1376104227014325,0.9302978321809898,0.939170873027459,COMPLETE
80,0.9062219489854042,2025-10-16 23:44:22.635000,2025-10-16 23:44:26.583235,0 days 00:00:03.948235,0.6554915170824508,0.36418095478125245,0.1992749957751272,10,2,137,5.877126418575949,1.296609785437604,0.9819751059582994,COMPLETE
81,0.9082044641459553,2025-10-16 23:44:26.609821,2025-10-16 23:44:30.101565,0 days 00:00:03.491744,0.6403376174211103,0.5997247730197593,0.1526939879712843,6,1,157,6.432980918879343,0.6791090922736767,0.9239897649741129,COMPLETE
82,0.9081155787953333,2025-10-16 23:44:30.128035,2025-10-16 23:44:33.332755,0 days 00:00:03.204720,0.6094890137020599,0.580160411437966,0.15182541721529214,6,1,156,5.4594385522782565,0.6091858516614441,0.9265151192574509,COMPLETE
83,0.908118047489841,2025-10-16 23:44:33.356971,2025-10-16 23:44:36.326701,0 days 00:00:02.969730,0.6087236466914807,0.5933343733128893,0.14986098847644055,6,1,158,5.59421675923377,0.0025713981655423046,0.9246777068557089,COMPLETE
84,0.9081783561755217,2025-10-16 23:44:36.351143,2025-10-16 23:44:39.385938,0 days 00:00:03.034795,0.6116281794328784,0.6335344397067002,0.12991997929417753,6,1,157,5.592800285280477,0.12264804237403737,0.9240997887990118,COMPLETE
85,0.9081000706315532,2025-10-16 23:44:39.412957,2025-10-16 23:44:42.262899,0 days 00:00:02.849942,0.6080631041197317,0.9173384759362924,0.13182362534976064,6,1,149,5.553079616326961,0.21833957940631651,0.9222301698316409,COMPLETE
86,0.9080482176183402,2025-10-16 23:44:42.288399,2025-10-16 23:44:45.041361,0 days 00:00:02.752962,0.6157376457814541,0.30885421947149405,0.12149929904109069,7,1,120,4.592637857284018,0.5456155349176752,0.9995207284717836,COMPLETE
87,0.9082906518478285,2025-10-16 23:44:45.065288,2025-10-16 23:44:48.224838,0 days 00:00:03.159550,0.6006801837559709,0.1754822758454937,0.15101273350000216,6,1,171,5.716699624154716,0.04485705503804216,0.9524293938354377,COMPLETE
88,0.9078414336906135,2025-10-16 23:44:48.250384,2025-10-16 23:44:51.812455,0 days 00:00:03.562071,0.6002853453008186,0.2128737620441833,0.14065450684362862,7,1,170,4.990225794532561,0.21715911091481757,0.9511204300085175,COMPLETE
89,0.9077613638888711,2025-10-16 23:44:51.839214,2025-10-16 23:44:54.944581,0 days 00:00:03.105367,0.6217556278797629,0.17147502958644267,0.12585245763336905,6,2,145,6.667681215749652,0.057319022649709096,0.6026441179507966,COMPLETE
90,0.9081457414249418,2025-10-16 23:44:54.968100,2025-10-16 23:44:57.874122,0 days 00:00:02.906022,0.634757977398008,0.8704958009629551,0.15321303655645319,6,1,167,5.7614822734592535,0.8522142625702382,0.9637664782352696,COMPLETE
91,0.9080129723562834,2025-10-16 23:44:57.900038,2025-10-16 23:45:01.055230,0 days 00:00:03.155192,0.6493018305156225,0.8760401000188561,0.1541622474129035,6,1,176,5.777303797769133,0.9020305402515645,0.9633483400954876,COMPLETE
92,0.9081040586534781,2025-10-16 23:45:01.081723,2025-10-16 23:45:03.962853,0 days 00:00:02.881130,0.6332674651797413,1.1662979701161655,0.14890382252633308,6,1,169,6.026718563893558,0.4145390773353722,0.9744694431224795,COMPLETE
93,0.9082652512742515,2025-10-16 23:45:03.986722,2025-10-16 23:45:06.965671,0 days 00:00:02.978949,0.6113182592443117,0.6427812881781133,0.13959252581442788,6,2,157,6.41231370731433,0.019294406646149634,0.9291078413548923,COMPLETE
94,0.9082944571678816,2025-10-16 23:45:06.989493,2025-10-16 23:45:11.085330,0 days 00:00:04.095837,0.6139605837397024,0.3961761861547899,0.1400128710829996,6,2,190,6.494314575540268,1.8338749752000996,0.9335526282623711,COMPLETE
95,0.908170183885941,2025-10-16 23:45:11.118715,2025-10-16 23:45:16.393691,0 days 00:00:05.274976,0.6152707060413978,0.3403354185499916,0.11658434550050865,7,2,190,7.109271406644466,1.7068272000756481,0.9349000588108127,COMPLETE
96,0.9081635471837737,2025-10-16 23:45:16.418371,2025-10-16 23:45:21.770405,0 days 00:00:05.352034,0.6179384048911347,0.08358206051804767,0.1163321665240154,7,2,190,6.957242605204955,1.8164010734988476,0.9364100634946392,COMPLETE
97,0.9081885944448527,2025-10-16 23:45:21.797688,2025-10-16 23:45:26.894293,0 days 00:00:05.096605,0.618880418397566,0.10279827035138267,0.10483456133953703,7,2,191,7.011960150894938,1.845959503870896,0.9507519864210032,COMPLETE
98,0.9081274448676957,2025-10-16 23:45:26.923333,2025-10-16 23:45:31.248867,0 days 00:00:04.325534,0.6185782375004739,0.07386639298946887,0.11657097538847054,7,2,211,6.960672485212671,2.02641466983132,0.9463300116362975,COMPLETE
99,0.9078380954198358,2025-10-16 23:45:31.273531,2025-10-16 23:45:35.969650,0 days 00:00:04.696119,0.656745960005586,0.09550905736435589,0.10851224801837436,8,2,194,7.187466590473383,1.7702984172779785,0.9337915153206839,COMPLETE
